Resource,Resource_type,Zone,Cluster,StartCap,RetCap,RetroCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,RetroEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,RetroChargeCap,NewChargeCap,EndChargeCap
natural_gas_fired_combined_cycle_8,Natural Gas Fired Combined Cycle,1,9,8055.999999999999,0.0,0.0,0.0,8055.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_9,Natural Gas Fired Combined Cycle,1,10,532.0,0.0,0.0,0.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_10,Natural Gas Fired Combined Cycle,1,11,237.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_11,Natural Gas Fired Combined Cycle,1,12,1188.0,0.0,0.0,0.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_12,Natural Gas Fired Combined Cycle,1,13,1026.0,0.0,0.0,0.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_13,Natural Gas Fired Combined Cycle,1,14,7481.0,0.0,0.0,0.0,7481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_14,Natural Gas Fired Combined Cycle,1,15,824.0,0.0,0.0,0.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,Natural Gas Fired Combustion Turbine,1,16,741.0,0.0,0.0,0.0,741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,17,1073.0,0.0,0.0,0.0,1073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,1,18,81.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_3,Natural Gas Fired Combustion Turbine,1,19,180.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_4,Natural Gas Fired Combustion Turbine,1,20,91.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine_5,Natural Gas Fired Combustion Turbine,1,21,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
