Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,49,10
3,45,9
4,49,10
5,45,9
6,49,10
7,49,10
8,45,9
9,49,10
10,10,2
11,42,8
12,42,8
13,42,8
14,14,3
15,42,8
16,42,8
17,42,8
18,42,8
19,42,8
20,35,7
21,35,7
22,35,7
23,35,7
24,35,7
25,35,7
26,35,7
27,27,4
28,35,7
29,35,7
30,35,7
31,31,5
32,32,6
33,35,7
34,35,7
35,35,7
36,35,7
37,35,7
38,35,7
39,35,7
40,35,7
41,42,8
42,42,8
43,42,8
44,49,10
45,45,9
46,45,9
47,45,9
48,45,9
49,49,10
50,45,9
51,49,10
52,52,11
