Resource,Resource_type,Zone,Cluster,StartCap,RetCap,RetroCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,RetroEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,RetroChargeCap,NewChargeCap,EndChargeCap
natural_gas_steam_turbine_8,Natural Gas Steam Turbine,1,40,844,790.8948078484717,0,0,53.10519215,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_9,Natural Gas Steam Turbine,1,41,421,0,0,0,421,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_10,Natural Gas Steam Turbine,1,42,248,248,0,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_11,Natural Gas Steam Turbine,1,43,392,0,0,0,392,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_12,Natural Gas Steam Turbine,1,44,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_13,Natural Gas Steam Turbine,1,45,1461,0,0,0,1461,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_14,Natural Gas Steam Turbine,1,46,430,0,0,0,430,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_15,Natural Gas Steam Turbine,1,47,169,0,0,0,169,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_16,Natural Gas Steam Turbine,1,48,169,0,0,0,169,0,0,0,0,0,0,0,0,0,0
natural_gas_steam_turbine_17,Natural Gas Steam Turbine,1,49,122,0,0,0,122,0,0,0,0,0,0,0,0,0,0
nuclear,Nuclear,1,1,2520,0,0,0,2520,0,0,0,0,0,0,0,0,0,0
nuclear_1,Nuclear,1,2,2460,0,0,0,2460,0,0,0,0,0,0,0,0,0,0
onshore_wind_turbine,Onshore Wind Turbine,1,1,34061,0,0,0,34061,0,0,0,0,0,0,0,0,0,0
onshore_wind_turbine_exp,Onshore Wind Turbine,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onshore_wind_turbine_ppa_1,Onshore Wind Turbine,1,3,0,0,0,2888.2963892066473,2888.2963892066473,0,0,0,0,0,0,0,0,0,0
onshore_wind_turbine_ppa_2,Onshore Wind Turbine,1,4,0,0,0,2103.910666756452,2103.910666756452,0,0,0,0,0,0,0,0,0,0
onshore_wind_turbine_ppa_3,Onshore Wind Turbine,1,5,0,0,0,3217.4110930765255,3217.4110930765255,0,0,0,0,0,0,0,0,0,0
small_hydroelectric,Small Hydroelectric,1,1,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0
solar_photovoltaic,Solar Photovoltaic,1,1,9147,0,0,0,9147,0,0,0,0,0,0,0,0,0,0
solar_photovoltaic_exp,Solar Photovoltaic,1,2,0,0,0,8606.775671300686,8606.775671300686,0,0,0,0,0,0,0,0,0,0
solar_photovoltaic_ppa_1,Solar Photovoltaic,1,3,0,0,0,2304.041664763858,2304.041664763858,0,0,0,0,0,0,0,0,0,0
solar_photovoltaic_ppa_2,Solar Photovoltaic,1,4,0,0,0,3284.29968,3284.29968,0,0,0,0,0,0,0,0,0,0
solar_photovoltaic_ppa_3,Solar Photovoltaic,1,5,0,0,0,3443.1315852966986,3443.1315852966986,0,0,0,0,0,0,0,0,0,0
Battery,Battery,1,1,726,0,0,0,726,2904,0,0,0,2904,0,0,0,0,0
Battery_exp,Battery,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battery_ppa_1,Battery,1,3,0,0,0,794.5511385378454,794.5511385378454,0,0,0,3178.2045541513817,3178.2045541513817,0,0,0,0,0
Battery_ppa_2,Battery,1,4,0,0,0,980.9537287757475,980.9537287757475,0,0,0,3923.8149151029897,3923.8149151029897,0,0,0,0,0
Battery_ppa_3,Battery,1,5,0,0,0,3303.9849235401025,3303.9849235401025,0,0,0,13215.93969416041,13215.93969416041,0,0,0,0,0
Flexible_demand_1,Flexible Demand,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flexible_demand_2,Flexible Demand,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flexible_demand_3,Flexible Demand,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_retrofit_1,Thermal_Storage,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_retrofit_2,Thermal_Storage,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_retrofit_3,Thermal_Storage,1,3,0,0,0,877.9999999999999,877.9999999999999,0,0,8780,0,8780,0,0,2984.8429999911386,0,2984.8429999911386
Coal_retrofit_4,Thermal_Storage,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_retrofit_5,Thermal_Storage,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_retrofit_6,Thermal_Storage,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_retrofit_7,Thermal_Storage,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_retrofit_8,Thermal_Storage,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_retrofit_9,Thermal_Storage,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_retrofit_10,Thermal_Storage,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_retrofit_11,Thermal_Storage,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_retrofit_12,Thermal_Storage,1,12,0,0,0,807.0686476314397,807.0686476314397,0,0,8070.686476314396,0,8070.686476314396,0,0,3127.9975334741416,0,3127.9975334741416
Total,Total,n/a,n/a,109806.2,8056.026160217032,1685.0686476314395,32612.42518920353,132677.53038135506,2904,0,16850.686476314397,20317.959163414784,40072.64563972918,0,0,6112.840533,0,6112.840533
