BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1368,34980.53530018035,0.0,-368.96530018035276,0.0,-0.0,0.0,0.0,0.0,0.0,-34611.57
t1369,35406.33557612181,51.92545919579037,-2663.6910353175936,0.0,-0.0,0.0,0.0,0.0,0.0,-32794.57
t1370,34254.35068469477,320.70458291995476,-2893.4852676147198,0.0,-0.0,0.0,0.0,0.0,0.0,-31681.57
t1371,33146.09685263095,565.7787411659853,-2570.30559379694,0.0,-0.0,0.0,0.0,0.0,0.0,-31141.57
t1372,32378.718676000608,467.086277623158,-1916.2349536237643,0.0,-0.0,0.0,0.0,0.0,0.0,-30929.57
t1373,31089.687441421906,434.8825585780983,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-31524.57
t1374,33023.14764950714,445.4223504928598,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-33468.57
t1375,35974.38435917183,550.1856408281657,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36524.57
t1376,37317.0168228834,327.55317711660007,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37644.57
t1377,38349.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38349.57
t1378,39508.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39508.57
t1379,40705.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40705.57
t1380,42206.05469476865,0.0,-490.48469476865716,0.0,-0.0,0.0,0.0,0.0,0.0,-41715.57
t1381,43136.29188025719,0.0,-608.7218802571965,0.0,-0.0,0.0,0.0,0.0,0.0,-42527.57
t1382,43988.32524844104,0.0,-598.7552484410444,0.0,-0.0,0.0,0.0,0.0,0.0,-43389.57
t1383,43667.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43667.57
t1384,43834.49327104388,0.0,-219.9232710438903,0.0,-0.0,0.0,0.0,0.0,0.0,-43614.57
t1385,43308.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43308.57
t1386,41109.73602839649,2294.8339716035057,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43404.57
t1387,37858.16274270815,6147.4072572918585,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44005.57
t1388,42046.70806413004,709.8619358699497,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42756.57
t1389,40783.192231024346,727.3777689756602,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41510.57
t1390,38821.55195229199,786.0180477080137,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39607.57
t1391,36671.707472954025,858.6821761041075,-533.819649058138,0.0,-0.0,0.0,0.0,0.0,0.0,-36996.57
t1392,34321.20906309844,912.1143570329202,-851.7534201313554,0.0,-0.0,0.0,0.0,0.0,0.0,-34381.57
t1393,33515.57532238032,937.2388532691429,-1983.244175649466,0.0,-0.0,0.0,0.0,0.0,0.0,-32469.569999999996
t1394,32861.480826282765,970.3219814814237,-2476.2328077641814,0.0,-0.0,0.0,0.0,0.0,0.0,-31355.57
t1395,32757.02370119953,321.0018331785889,-2238.4555343781194,0.0,-0.0,0.0,0.0,0.0,0.0,-30839.57
t1396,32446.15427944673,323.67104583934207,-2089.255325286068,0.0,-0.0,0.0,0.0,0.0,0.0,-30680.57
t1397,32507.46041072952,304.80041053213563,-1526.6908212616536,0.0,-0.0,0.0,0.0,0.0,0.0,-31285.57
t1398,33213.21108202798,442.1919549798573,-284.8330370078324,0.0,-0.0,0.0,0.0,0.0,0.0,-33370.57
t1399,35896.191561693966,821.3784383060374,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36717.57
t1400,37180.09583581096,833.474164189042,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38013.57
t1401,38695.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38695.57
t1402,39786.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39786.57
t1403,40893.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40893.57
t1404,42114.2532375076,0.0,-477.683237507599,0.0,-0.0,0.0,0.0,0.0,0.0,-41636.57
t1405,43681.09621611386,0.0,-1805.5262161138685,0.0,-0.0,0.0,0.0,0.0,0.0,-41875.57
t1406,43779.62014129556,0.0,-1649.0501412955803,0.0,-0.0,0.0,0.0,0.0,0.0,-42130.57
t1407,43956.8805151492,0.0,-1755.3105151492148,0.0,-0.0,0.0,0.0,0.0,0.0,-42201.57
t1408,43328.35531213699,0.0,-1160.7853121370022,0.0,-0.0,0.0,0.0,0.0,0.0,-42167.57
t1409,42223.172161338945,403.39783866105813,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42626.57
t1410,40763.09366365111,3111.4763363488923,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43874.57
t1411,38105.68617583145,6567.883824168551,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44673.57
t1412,43249.44229241826,818.1277075817363,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44067.57
t1413,43236.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43236.57
t1414,41675.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41675.57
t1415,39339.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39339.57
t1416,37251.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37251.57
t1417,36600.736225684246,0.0,-714.1662256842421,0.0,-0.0,0.0,0.0,0.0,0.0,-35886.57
t1418,36743.503728300086,82.20761428813906,-1748.1413425882258,0.0,-0.0,0.0,0.0,0.0,0.0,-35077.57
t1419,35671.7827907542,429.43063238089974,-1326.6434231351002,0.0,-0.0,0.0,0.0,0.0,0.0,-34774.57
t1420,34874.33309610881,872.4441396252964,-849.2072357341035,0.0,-0.0,0.0,0.0,0.0,0.0,-34897.57
t1421,35638.38128329702,1291.5319158031862,-1127.343199100214,0.0,-0.0,0.0,0.0,0.0,0.0,-35802.57
t1422,36817.88871489421,1496.6812851057814,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38314.57
t1423,41141.51616340839,934.053836591611,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42075.57
t1424,41806.58307750849,1542.9869224915078,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43349.57
t1425,43508.98783050923,88.58216949077412,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43597.57
t1426,43818.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43818.57
t1427,43946.06881777283,0.0,-521.4988177728321,0.0,-0.0,0.0,0.0,0.0,0.0,-43424.57
t1428,45442.872431051,0.0,-2808.3024310510013,0.0,-0.0,0.0,0.0,0.0,0.0,-42634.57
t1429,45136.39467386537,0.0,-3446.824673865378,0.0,-0.0,0.0,0.0,0.0,0.0,-41689.57
t1430,44913.91413960983,0.0,-3735.3441396098447,0.0,-0.0,0.0,0.0,0.0,0.0,-41178.57
t1431,44418.66069546131,0.0,-3914.090695461321,0.0,-0.0,0.0,0.0,0.0,0.0,-40504.57
t1432,42650.39650639787,0.0,-2561.8265063978774,0.0,-0.0,0.0,0.0,0.0,0.0,-40088.57
t1433,40363.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40363.57
t1434,39841.46079514045,1850.1092048595563,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41691.57
t1435,40238.45103722437,2532.118962775635,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42770.57
t1436,42015.691004581044,296.87899541896434,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42312.57
t1437,41858.29904528275,0.27095471724747355,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41858.57
t1438,41042.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41042.57
