Time_Index,NG,None,coal,uranium
0,0.05306,0.0,0.095487528,0.0
1,2.03096,0.0,2.46662,0.69888
2,2.03096,0.0,2.46662,0.69888
3,2.03096,0.0,2.46662,0.69888
4,2.03096,0.0,2.46662,0.69888
5,2.03096,0.0,2.46662,0.69888
6,2.03096,0.0,2.46662,0.69888
7,2.03096,0.0,2.46662,0.69888
8,2.03096,0.0,2.46662,0.69888
9,2.03096,0.0,2.46662,0.69888
10,2.03096,0.0,2.46662,0.69888
11,2.03096,0.0,2.46662,0.69888
12,2.03096,0.0,2.46662,0.69888
13,2.03096,0.0,2.46662,0.69888
14,2.03096,0.0,2.46662,0.69888
15,2.03096,0.0,2.46662,0.69888
16,2.03096,0.0,2.46662,0.69888
17,2.03096,0.0,2.46662,0.69888
18,2.03096,0.0,2.46662,0.69888
19,2.03096,0.0,2.46662,0.69888
20,2.03096,0.0,2.46662,0.69888
21,2.03096,0.0,2.46662,0.69888
22,2.03096,0.0,2.46662,0.69888
23,2.03096,0.0,2.46662,0.69888
24,2.03096,0.0,2.46662,0.69888
25,2.03096,0.0,2.46662,0.69888
26,2.03096,0.0,2.46662,0.69888
27,2.03096,0.0,2.46662,0.69888
28,2.03096,0.0,2.46662,0.69888
29,2.03096,0.0,2.46662,0.69888
30,2.03096,0.0,2.46662,0.69888
31,2.03096,0.0,2.46662,0.69888
32,2.03096,0.0,2.46662,0.69888
33,2.03096,0.0,2.46662,0.69888
34,2.03096,0.0,2.46662,0.69888
35,2.03096,0.0,2.46662,0.69888
36,2.03096,0.0,2.46662,0.69888
37,2.03096,0.0,2.46662,0.69888
38,2.03096,0.0,2.46662,0.69888
39,2.03096,0.0,2.46662,0.69888
40,2.03096,0.0,2.46662,0.69888
41,2.03096,0.0,2.46662,0.69888
42,2.03096,0.0,2.46662,0.69888
43,2.03096,0.0,2.46662,0.69888
44,2.03096,0.0,2.46662,0.69888
45,2.03096,0.0,2.46662,0.69888
46,2.03096,0.0,2.46662,0.69888
47,2.03096,0.0,2.46662,0.69888
48,2.03096,0.0,2.46662,0.69888
49,2.03096,0.0,2.46662,0.69888
50,2.03096,0.0,2.46662,0.69888
51,2.03096,0.0,2.46662,0.69888
52,2.03096,0.0,2.46662,0.69888
53,2.03096,0.0,2.46662,0.69888
54,2.03096,0.0,2.46662,0.69888
55,2.03096,0.0,2.46662,0.69888
56,2.03096,0.0,2.46662,0.69888
57,2.03096,0.0,2.46662,0.69888
58,2.03096,0.0,2.46662,0.69888
59,2.03096,0.0,2.46662,0.69888
60,2.03096,0.0,2.46662,0.69888
61,2.03096,0.0,2.46662,0.69888
62,2.03096,0.0,2.46662,0.69888
63,2.03096,0.0,2.46662,0.69888
64,2.03096,0.0,2.46662,0.69888
65,2.03096,0.0,2.46662,0.69888
66,2.03096,0.0,2.46662,0.69888
67,2.03096,0.0,2.46662,0.69888
68,2.03096,0.0,2.46662,0.69888
69,2.03096,0.0,2.46662,0.69888
70,2.03096,0.0,2.46662,0.69888
71,2.03096,0.0,2.46662,0.69888
72,2.03096,0.0,2.46662,0.69888
73,2.03096,0.0,2.46662,0.69888
74,2.03096,0.0,2.46662,0.69888
75,2.03096,0.0,2.46662,0.69888
76,2.03096,0.0,2.46662,0.69888
77,2.03096,0.0,2.46662,0.69888
78,2.03096,0.0,2.46662,0.69888
79,2.03096,0.0,2.46662,0.69888
80,2.03096,0.0,2.46662,0.69888
81,2.03096,0.0,2.46662,0.69888
82,2.03096,0.0,2.46662,0.69888
83,2.03096,0.0,2.46662,0.69888
84,2.03096,0.0,2.46662,0.69888
85,2.03096,0.0,2.46662,0.69888
86,2.03096,0.0,2.46662,0.69888
87,2.03096,0.0,2.46662,0.69888
88,2.03096,0.0,2.46662,0.69888
89,2.03096,0.0,2.46662,0.69888
90,2.03096,0.0,2.46662,0.69888
91,2.03096,0.0,2.46662,0.69888
92,2.03096,0.0,2.46662,0.69888
93,2.03096,0.0,2.46662,0.69888
94,2.03096,0.0,2.46662,0.69888
95,2.03096,0.0,2.46662,0.69888
96,2.03096,0.0,2.46662,0.69888
97,2.03096,0.0,2.46662,0.69888
98,2.03096,0.0,2.46662,0.69888
99,2.03096,0.0,2.46662,0.69888
100,2.03096,0.0,2.46662,0.69888
101,2.03096,0.0,2.46662,0.69888
102,2.03096,0.0,2.46662,0.69888
103,2.03096,0.0,2.46662,0.69888
104,2.03096,0.0,2.46662,0.69888
105,2.03096,0.0,2.46662,0.69888
106,2.03096,0.0,2.46662,0.69888
107,2.03096,0.0,2.46662,0.69888
108,2.03096,0.0,2.46662,0.69888
109,2.03096,0.0,2.46662,0.69888
