BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t436,30911.570000000003,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-30185.57
t437,31357.570000000003,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-30631.57
t438,31868.586748227524,0.0,-130.01674822752048,0.0,-0.0,0.0,0.0,0.0,0.0,-31738.57
t439,32963.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-32963.57
t440,34571.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-34571.57
t441,36140.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36140.57
t442,37520.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37520.57
t443,38090.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38090.57
t444,38474.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38474.57
t445,38779.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38779.57
t446,39358.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39358.57
t447,39972.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39972.57
t448,40401.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40401.57
t449,40397.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-40397.57
t450,39847.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39847.57
t451,38729.715565017854,579.8544349821399,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39309.57
t452,38941.57000000001,726.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39667.57
t453,38008.57,726.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38734.57
t454,36991.81991746996,275.75008253003836,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37267.57
t455,35339.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-35339.57
t456,33347.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-33347.57
t457,31895.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-31895.57
t458,31230.67468393838,0.0,-448.1046839383796,0.0,-0.0,0.0,0.0,0.0,0.0,-30782.57
t459,30922.570000000007,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-30196.57
t460,30473.79268393838,0.0,-445.2226839383786,0.0,-0.0,0.0,0.0,0.0,0.0,-30028.57
t461,30407.26068393838,0.0,-219.69068393837733,0.0,-0.0,0.0,0.0,0.0,0.0,-30187.57
t462,30548.154683938385,104.41531606162124,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-30652.57
t463,30437.57,726.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-31163.57
t464,31795.57,726.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-32521.569999999996
t465,33999.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-33999.57
t466,35673.779743545194,0.0,-540.2097435452049,0.0,-0.0,0.0,0.0,0.0,0.0,-35133.57
t467,36601.56999999999,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-35875.57
t468,36250.30784056336,0.0,-25.737840563364145,0.0,-0.0,0.0,0.0,0.0,0.0,-36224.57
t469,36535.2888249205,0.0,-412.71882492050514,0.0,-0.0,0.0,0.0,0.0,0.0,-36122.57
t470,36811.56999999999,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36085.57
t471,37142.56999999999,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36416.57
t472,36836.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36836.57
t473,37403.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37403.57
t474,37597.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37597.57
t475,37823.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37823.57
t476,37752.57,726.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38478.57
t477,36656.57,726.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37382.57
t478,34963.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-34963.57
t479,32130.569999999992,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-32130.57
t480,30131.570000000003,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-30131.57
t481,28806.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-28806.57
t482,28200.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-28200.57
t483,28041.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-28041.57
t484,28667.570000000003,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-28667.57
t485,30663.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-30663.57
t486,34082.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-34082.57
t487,34948.45307778363,577.1169222163694,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-35525.57
t488,35825.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-35825.57
t489,36647.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36647.57
t490,38455.57,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-37729.57
t491,39513.57,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38787.57
t492,40683.56999999999,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39957.57
t493,41534.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41534.57
t494,43021.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-43021.57
t495,44391.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44391.57
t496,45733.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45733.57
t497,46348.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46348.57
t498,46157.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-46157.57
t499,44804.63674718113,299.9332528188649,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45104.57
t500,43991.56999999999,726.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44717.57
t501,41654.57,726.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-42380.57
t502,38637.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38637.57
t503,35127.56999999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-35127.57
t504,33098.56999999999,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-32372.570000000003
t505,32499.570000000007,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-32499.57
t506,31381.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-31381.57
t507,31308.008,0.0,-470.43800000000124,0.0,-0.0,0.0,0.0,0.0,0.0,-30837.57
t508,31017.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-31017.57
t509,32518.570000000003,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-32518.569999999996
t510,35290.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-35290.57
t511,36304.42313014224,398.1468698577612,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-36702.57
t512,38033.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-38033.57
t513,39852.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-39852.57
t514,42717.57,0.0,-726.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41991.57
t515,44184.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-44184.57
t516,45973.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-45973.57
t517,47576.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47576.57
t518,49068.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-49068.57
t519,50254.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50254.57
t520,51051.570000000014,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51051.57
t521,51267.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-51267.57
t522,49712.18191094203,614.3880890579723,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-50326.57
t523,48781.57000000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-48781.57
t524,47881.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-47881.57
