Resource,Resource_type,Zone,Cluster,StartCap,RetCap,RetroCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,RetroEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,RetroChargeCap,NewChargeCap,EndChargeCap
natural_gas_steam_turbine_4,Natural Gas Steam Turbine,1,36,167.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_5,Natural Gas Steam Turbine,1,37,171.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_6,Natural Gas Steam Turbine,1,38,2160.0,0.0,0.0,0.0,2160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_7,Natural Gas Steam Turbine,1,39,1265.0,0.0,0.0,0.0,1265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_8,Natural Gas Steam Turbine,1,40,844.0,0.0,0.0,0.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_9,Natural Gas Steam Turbine,1,41,421.0,0.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_10,Natural Gas Steam Turbine,1,42,248.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_11,Natural Gas Steam Turbine,1,43,392.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_12,Natural Gas Steam Turbine,1,44,61.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_13,Natural Gas Steam Turbine,1,45,1461.0,0.0,0.0,0.0,1461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_14,Natural Gas Steam Turbine,1,46,430.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_15,Natural Gas Steam Turbine,1,47,169.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_16,Natural Gas Steam Turbine,1,48,169.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_steam_turbine_17,Natural Gas Steam Turbine,1,49,122.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,Nuclear,1,1,2520.0,0.0,0.0,0.0,2520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear_1,Nuclear,1,2,2460.0,0.0,0.0,0.0,2460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind_turbine,Onshore Wind Turbine,1,1,34061.0,0.0,0.0,0.0,34061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind_turbine_exp,Onshore Wind Turbine,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind_turbine_ppa_1,Onshore Wind Turbine,1,2,0.0,0.0,0.0,1687.3446577722734,1687.3446577722734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind_turbine_ppa_2,Onshore Wind Turbine,1,2,0.0,0.0,0.0,830.3100521068848,830.3100521068848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind_turbine_ppa_3,Onshore Wind Turbine,1,2,0.0,0.0,0.0,1700.156466517795,1700.156466517795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small_hydroelectric,Small Hydroelectric,1,1,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_photovoltaic,Solar Photovoltaic,1,1,9147.0,0.0,0.0,0.0,9147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_photovoltaic_exp,Solar Photovoltaic,1,2,0.0,0.0,0.0,9925.027168580504,9925.027168580504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_photovoltaic_ppa_1,Solar Photovoltaic,1,2,0.0,0.0,0.0,1309.8182016728808,1309.8182016728808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_photovoltaic_ppa_2,Solar Photovoltaic,1,2,0.0,0.0,0.0,2146.2344768644807,2146.2344768644807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_photovoltaic_ppa_3,Solar Photovoltaic,1,2,0.0,0.0,0.0,1601.0223895540803,1601.0223895540803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery,Battery,1,1,726.0,0.0,0.0,0.0,726.0,2904.0,0.0,0.0,0.0,2904.0,0.0,0.0,0.0,0.0,0.0
Battery_exp,Battery,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_ppa_1,Battery,1,1,0.0,0.0,0.0,238.40090849396304,238.40090849396304,0.0,0.0,0.0,953.6036339758522,953.6036339758522,0.0,0.0,0.0,0.0,0.0
Battery_ppa_2,Battery,1,2,0.0,0.0,0.0,572.4902787609315,572.4902787609315,0.0,0.0,0.0,2289.961115043726,2289.961115043726,0.0,0.0,0.0,0.0,0.0
Battery_ppa_3,Battery,1,3,0.0,0.0,0.0,1232.3960440456265,1232.3960440456265,0.0,0.0,0.0,4929.584176182506,4929.584176182506,0.0,0.0,0.0,0.0,0.0
Flexible_demand_1,Flexible Demand,1,3,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flexible_demand_2,Flexible Demand,1,3,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flexible_demand_3,Flexible Demand,1,3,200.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_retrofit_1,Thermal_Storage,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_retrofit_2,Thermal_Storage,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_retrofit_3,Thermal_Storage,1,3,0.0,0.0,0.0,494.1802005973267,494.1802005973267,0.0,0.0,3817.9041133319156,0.0,3817.9041133319156,0.0,0.0,1363.537183332827,0.0,1363.537183332827
Coal_retrofit_4,Thermal_Storage,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_retrofit_5,Thermal_Storage,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_retrofit_6,Thermal_Storage,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_retrofit_7,Thermal_Storage,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_retrofit_8,Thermal_Storage,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_retrofit_9,Thermal_Storage,1,9,0.0,0.0,0.0,352.7333234612192,352.7333234612192,0.0,0.0,2651.069399487478,0.0,2651.069399487478,0.0,0.0,990.8615887415841,0.0,990.8615887415841
Coal_retrofit_10,Thermal_Storage,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_retrofit_11,Thermal_Storage,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_retrofit_12,Thermal_Storage,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Total,n/a,n/a,110406.2,5577.930704071496,846.9135240585458,22090.114168427965,126071.46994029793,2904.0,0.0,6468.973512819393,8173.148925202084,17546.12243802148,0.0,0.0,2354.398772074411,0.0,2354.398772074411
