Resource,Resource_type,Zone,Cluster,StartCap,RetCap,RetroCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,RetroEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,RetroChargeCap,NewChargeCap,EndChargeCap
conventional_steam_coal_12,Conventional Steam Coal,1,12,1008.0,0.0,0.0,0.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,Natural Gas Fired Combined Cycle,1,1,780.0,0.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,2,2121.0,0.0,0.0,0.0,2121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,1,3,4644.0,0.0,0.0,0.0,4644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_3,Natural Gas Fired Combined Cycle,1,4,746.0,0.0,0.0,0.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_4,Natural Gas Fired Combined Cycle,1,5,704.0,0.0,0.0,0.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_5,Natural Gas Fired Combined Cycle,1,6,4029.0,0.0,0.0,0.0,4029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_6,Natural Gas Fired Combined Cycle,1,7,1740.0,0.0,0.0,0.0,1740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_7,Natural Gas Fired Combined Cycle,1,8,1031.0,0.0,0.0,0.0,1031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas_fired_combined_cycle_8,Natural Gas Fired Combined Cycle,1,9,8055.999999999999,0.0,0.0,0.0,8055.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
