region,Technology,Resource_Type,Existing_Cap_MW,Cap_Size,CapRes,Commit,cluster,Down_Time,DR,Eff_Down,Eff_Up,ESR_1,ESR_2,ESR_3,Existing_Cap_MWh,Existing_Charge_Cap_MW,Fixed_OM_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fuel,Heat_Rate_MMBTU_per_MWh,HYDRO,Hydro_Energy_to_Power_Ratio,Hydro_level,Inv_Cost_Charge_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_per_MWyr,LDS,MaxCapTag,MaxCapTag_1,MaxCapTag_2,MinCapTag,MinCapTag_1,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Max_Duration,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Min_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Min_Power,MUST_RUN,New_Build,Num_VRE_Bins,plant_inv_cost_mwyr,Ramp_Dn_Percentage,Ramp_Up_Percentage,Ratio_power_to_energy,Reg_Cost,Reg_Max,Rsv_Max,Resource,RPS,Rsv_Cost,Self_Disch,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,STOR,THERM,Up_Time,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE,Zone,FLEX,RETRO
TX_FW,Conventional Steam Coal,Conventional Steam Coal,1008,200,0.9,1,12,24,0,1,1,0,0,0,0,0,0,0,66305.41574,coal,8.409,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0.31,0,2,0,0,0.57,0.57,1,0,0.3,0.3,conventional_steam_coal_12,0,0,0,120,16.5,0,1,24,1.93238,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,780,260.033,0.9,1,1,6,0,1,1,0,0,0,0,0,0,0,16961.06,NG,11.348,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle,0,0,0,89,2,0,1,6,4.6799,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,2121,530.25,0.9,1,2,6,0,1,1,0,0,0,0,0,0,0,10065.76,NG,10.408,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.645,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_1,0,0,0,89,2,0,1,6,3.71424,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,4644,663.429,0.9,1,3,6,0,1,1,0,0,0,0,0,0,0,10065.76,NG,7.196,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.457,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_2,0,0,0,89,2,0,1,6,3.71424,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,746,248.567,0.9,1,4,6,0,1,1,0,0,0,0,0,0,0,16961.06,NG,9.014,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.461,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_3,0,0,0,89,2,0,1,6,4.6799,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,704,234.633,0.9,1,5,6,0,1,1,0,0,0,0,0,0,0,16961.06,NG,13.504,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.397,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_4,0,0,0,89,2,0,1,6,4.6799,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,4029,402.9,0.9,1,6,6,0,1,1,0,0,0,0,0,0,0,12682.9,NG,7.659,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.468,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_5,0,0,0,89,2,0,1,6,3.65912,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,1740,435.075,0.9,1,7,6,0,1,1,0,0,0,0,0,0,0,10065.76,NG,11.897,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.552,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_6,0,0,0,89,2,0,1,6,3.71424,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,1031,257.75,0.9,1,8,6,0,1,1,0,0,0,0,0,0,0,16961.06,NG,7.948,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.587,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_7,0,0,0,89,2,0,1,6,4.6799,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,8056,735.471,0.9,1,9,6,0,1,1,0,0,0,0,0,0,0,12682.9,NG,7.193,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.454,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_8,0,0,0,89,2,0,1,6,3.65912,0,0,1,0,0
