BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1525,46082.430263086324,0.0,-6886.860263086335,0.0,-0.0,0.0,0.0,0.0,0.0,-39195.57
t1526,44454.99462184677,0.0,-5653.424621846765,0.0,-0.0,0.0,0.0,0.0,0.0,-38801.57
t1527,43299.33665200226,0.0,-4764.76665200226,0.0,-0.0,0.0,0.0,0.0,0.0,-38534.57
t1528,45327.781897418135,0.0,-6909.211897418134,0.0,-0.0,0.0,0.0,0.0,0.0,-38418.57
t1529,41919.94795987017,0.0,-3328.37795987017,0.0,-0.0,0.0,0.0,0.0,0.0,-38591.57
t1530,43927.57192658923,0.0,-3859.0019265892224,0.0,-0.0,0.0,0.0,0.0,0.0,-40068.57
t1531,43821.45945483754,0.0,-2210.8894548375374,0.0,-0.0,0.0,0.0,0.0,0.0,-41610.57
t1532,42075.58147605857,0.0,-525.0114760585675,0.0,-0.0,0.0,0.0,0.0,0.0,-41550.57
t1533,44410.816361139994,0.0,-3213.2463611399844,0.0,-0.0,0.0,0.0,0.0,0.0,-41197.57
t1534,41894.49027660341,0.0,-1896.9202766033968,0.0,-0.0,0.0,0.0,0.0,0.0,-39997.57
t1535,40887.024403088464,0.0,-3010.454403088464,0.0,-0.0,0.0,0.0,0.0,0.0,-37876.57
t1536,37372.47359987805,0.0,-1623.9035998780578,0.0,-0.0,0.0,0.0,0.0,0.0,-35748.57
t1537,36895.950894755435,58.73212775173633,-2494.113022507178,0.0,-0.0,0.0,0.0,0.0,0.0,-34460.57
t1538,34196.81922118888,231.7622548696953,-525.0114760585675,0.0,-0.0,0.0,0.0,0.0,0.0,-33903.57
t1539,34812.0400734647,316.2576774890854,-1200.7277509537819,0.0,-0.0,0.0,0.0,0.0,0.0,-33927.57
t1540,36287.03504659669,233.07998912273854,-2180.545035719428,0.0,-0.0,0.0,0.0,0.0,0.0,-34339.57
t1541,36935.74204852699,102.94807401569032,-1485.120122542677,0.0,-0.0,0.0,0.0,0.0,0.0,-35553.57
t1542,39901.90236385897,81.8938734829993,-1585.2262373419683,0.0,-0.0,0.0,0.0,0.0,0.0,-38398.57
t1543,44869.829380686075,174.06564028394376,-2552.3250209700122,0.0,-0.0,0.0,0.0,0.0,0.0,-42491.57
t1544,44950.03213173368,229.8116040995004,-1544.2737358331674,0.0,-0.0,0.0,0.0,0.0,0.0,-43635.57
t1545,44650.747521116056,0.0,-2304.177521116053,0.0,-0.0,0.0,0.0,0.0,0.0,-42346.57
t1546,47114.29874818117,0.0,-6069.728748181164,0.0,-0.0,0.0,0.0,0.0,0.0,-41044.57
t1547,42065.67967848421,0.0,-2034.1096784842066,0.0,-0.0,0.0,0.0,0.0,0.0,-40031.57
t1548,41301.85924158819,0.0,-2044.289241588196,0.0,-0.0,0.0,0.0,0.0,0.0,-39257.57
t1549,42955.12698868229,0.0,-4028.5569886822873,0.0,-0.0,0.0,0.0,0.0,0.0,-38926.57
